City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,3.28,86,75,4.92,RU,1694280809
1,utrik,11.2278,169.8474,28.17,77,59,5.55,MH,1694280809
2,balsas,-7.5325,-46.0356,38.78,18,48,2.66,BR,1694280809
3,berezovyy,51.6667,135.7,7.12,53,23,2.34,RU,1694280810
4,margaret river,-33.95,115.0667,15.54,64,100,6.83,AU,1694280810
5,phuthaditjhaba,-28.5242,28.8158,18.64,16,4,2.49,ZA,1694280810
6,adamstown,-25.066,-130.1015,21.18,84,58,8.34,PN,1694280810
7,saipan,15.1355,145.701,27.39,89,0,4.12,MP,1694280810
8,pervari,37.9357,42.5493,24.32,37,56,2.41,TR,1694280811
9,isafjordur,66.0755,-23.124,7.02,61,75,6.69,IS,1694280811
10,grytviken,-54.2811,-36.5092,-3.04,92,100,1.95,GS,1694280811
11,fale old settlement,-9.3852,-171.2468,28.09,69,80,4.26,TK,1694280811
12,blackmans bay,-43.0167,147.3167,6.96,82,71,2.03,AU,1694280811
13,tindouf,27.6711,-8.1474,39.25,18,40,5.66,DZ,1694280812
14,iturama,-19.7281,-50.1956,33.56,23,18,2.95,BR,1694280812
15,puerto natales,-51.7236,-72.4875,8.54,62,41,2.17,CL,1694280735
16,constantia,44.1833,28.65,22.61,44,0,2.47,RO,1694280812
17,waitangi,-43.9535,-176.5597,10.46,95,52,3.77,NZ,1694280812
18,ushuaia,-54.8,-68.3,5.81,70,20,2.06,AR,1694280813
19,cidreira,-30.1811,-50.2056,15.08,94,100,1.93,BR,1694280813
20,zahedan,29.4963,60.8629,25.95,14,0,2.06,IR,1694280645
21,bethel,41.3712,-73.414,30.26,74,75,2.57,US,1694280553
22,manggar,-2.8833,108.2667,26.15,79,6,3.48,ID,1694280813
23,dudinka,69.4058,86.1778,5.9,76,100,2.15,RU,1694280813
24,port-aux-francais,-49.35,70.2167,1.4,73,36,19.36,TF,1694280814
25,itoman,26.1247,127.6694,27.21,81,20,2.57,JP,1694280814
26,fort bragg,35.139,-79.006,28.28,88,100,3.09,US,1694280814
27,olonkinbyen,70.9221,-8.7187,3.11,72,99,7.35,SJ,1694280814
28,roma,43.2128,-75.4557,22.2,85,100,0.0,US,1694280814
29,bredasdorp,-34.5322,20.0403,10.95,95,1,2.05,ZA,1694280815
